"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, neutral expression, battle stance"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, neutral expression, guard up"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, neutral expression, attack follow-through"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, neutral expression, charging forward"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, neutral expression, power-up pose"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, neutral expression, running start"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, neutral expression, sliding crouch"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, neutral expression, mid-air jump"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, neutral expression, wall lean"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, neutral expression, commanding gesture"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, neutral expression, hand on hip"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, neutral expression, reaching out"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, neutral expression, wounded but standing"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, neutral expression, back-turned silhouette"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, neutral expression, victory pose"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, smiling, battle stance"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, smiling, guard up"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, smiling, attack follow-through"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, smiling, charging forward"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, smiling, power-up pose"
